code,name,total,date
010000000001,Алтайский край,46165,2009-01-01
010000000001,Алтайский край,54196,2009-02-01
010000000001,Алтайский край,58433,2009-03-01
010000000001,Алтайский край,59251,2009-04-01
010000000001,Алтайский край,56039,2009-05-01
010000000001,Алтайский край,53104,2009-06-01
010000000001,Алтайский край,52263,2009-07-01
010000000001,Алтайский край,51785,2009-08-01
010000000001,Алтайский край,50520,2009-09-01
010000000001,Алтайский край,50263,2009-10-01
010000000001,Алтайский край,53073,2009-11-01
010000000001,Алтайский край,56480,2009-12-01
010000000001,Алтайский край,57324,2010-01-01
010000000001,Алтайский край,58065,2010-02-01
010000000001,Алтайский край,56573,2010-03-01
010000000001,Алтайский край,54336,2010-04-01
010000000001,Алтайский край,51138,2010-05-01
010000000001,Алтайский край,47771,2010-06-01
010000000001,Алтайский край,44308,2010-07-01
010000000001,Алтайский край,41179,2010-08-01
010000000001,Алтайский край,38218,2010-09-01
010000000001,Алтайский край,35755,2010-10-01
010000000001,Алтайский край,36926,2010-11-01
010000000001,Алтайский край,41609,2010-12-01
010000000001,Алтайский край,42231,2011-01-01
010000000001,Алтайский край,43488,2011-02-01
010000000001,Алтайский край,42839,2011-03-01
010000000001,Алтайский край,40083,2011-04-01
010000000001,Алтайский край,37071,2011-05-01
010000000001,Алтайский край,33730,2011-06-01
010000000001,Алтайский край,31903,2011-07-01
010000000001,Алтайский край,30073,2011-08-01
010000000001,Алтайский край,28660,2011-09-01
010000000001,Алтайский край,27474,2011-10-01
010000000001,Алтайский край,29798,2011-11-01
010000000001,Алтайский край,33200,2011-12-01
010000000001,Алтайский край,34778,2012-01-01
010000000001,Алтайский край,35845,2012-02-01
010000000001,Алтайский край,35586,2012-03-01
010000000001,Алтайский край,32670,2012-04-01
010000000001,Алтайский край,30371,2012-05-01
010000000001,Алтайский край,28315,2012-06-01
010000000001,Алтайский край,26489,2012-07-01
010000000001,Алтайский край,25372,2012-08-01
010000000001,Алтайский край,24138,2012-09-01
010000000001,Алтайский край,23485,2012-10-01
010000000001,Алтайский край,26467,2012-11-01
010000000001,Алтайский край,29118,2012-12-01
010000000001,Алтайский край,30306,2013-01-01
010000000001,Алтайский край,31441,2013-02-01
010000000001,Алтайский край,30706,2013-03-01
010000000001,Алтайский край,27783,2013-04-01
010000000001,Алтайский край,25612,2013-05-01
010000000001,Алтайский край,23696,2013-06-01
010000000001,Алтайский край,22275,2013-07-01
010000000001,Алтайский край,20918,2013-08-01
010000000001,Алтайский край,18708,2013-09-01
010000000001,Алтайский край,17065,2013-10-01
010000000001,Алтайский край,19791,2013-11-01
010000000001,Алтайский край,22564,2013-12-01
010000000001,Алтайский край,23676,2014-01-01
010000000001,Алтайский край,24597,2014-02-01
010000000001,Алтайский край,24162,2014-03-01
010000000001,Алтайский край,21851,2014-04-01
010000000001,Алтайский край,20729,2014-05-01
010000000001,Алтайский край,19390,2014-06-01
010000000001,Алтайский край,18949,2014-07-01
010000000001,Алтайский край,18114,2014-08-01
010000000001,Алтайский край,16408,2014-09-01
010000000001,Алтайский край,15994,2014-10-01
